,EUR.USD.SPOT,EUR.USD.SPOT,USD.JPY.SPOT,USD.JPY.SPOT,USD.CAD.SPOT,USD.CAD.SPOT,AUD.USD.SPOT,AUD.USD.SPOT,GBP.USD.SPOT,GBP.USD.SPOT,NZD.USD.SPOT,NZD.USD.SPOT,USD.MXN.SPOT,USD.MXN.SPOT,EUR.NOK.SPOT,EUR.NOK.SPOT,EUR.SEK.SPOT,EUR.SEK.SPOT,USD.TRY.SPOT,USD.TRY.SPOT
,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1,bidprice1,askprice1
time_utc,,,,,,,,,,,,,,,,,,,,
2022-01-02 23:00:00,1.13727,1.1373,115.141,115.148,1.26593,1.26602,0.72673,0.7268,1.3521,1.35223,0.68386,0.68402,20.4861,20.4928,10.0028,10.0061,10.2861,10.2913,13.37,13.5495
2022-01-03 00:00:00,1.13618,1.13622,115.279,115.284,1.26535,1.26543,0.72655,0.72658,1.35165,1.35181,0.68471,0.6848,20.4853,20.4921,10.004,10.0072,10.287,10.2936,13.335,13.5155
2022-01-03 01:00:00,1.13584,1.13587,115.211,115.217,1.26618,1.26626,0.72553,0.72561,1.3517,1.35184,0.68375,0.68385,20.50168,20.50999,10.0071,10.0195,10.2709,10.2793,13.335,13.4645
2022-01-03 02:00:00,1.13425,1.13428,115.276,115.28,1.26728,1.26736,0.72519,0.72526,1.3504,1.35051,0.68317,0.68328,20.52201,20.53,10.0165,10.028,10.2705,10.2788,13.335,13.4935
2022-01-03 03:00:00,1.13481,1.13485,115.275,115.28,1.26782,1.2679,0.72484,0.7249,1.34989,1.35003,0.68308,0.68318,20.52771,20.53705,10.0151,10.03,10.2709,10.279,13.335,13.54
2022-01-03 04:00:00,1.13404,1.13407,115.268,115.274,1.26763,1.26772,0.7249,0.72498,1.34978,1.34992,0.68304,0.68314,20.53571,20.5441,10.0144,10.0295,10.2709,10.2788,13.335,13.51032
2022-01-03 05:00:00,1.13377,1.13382,115.307,115.313,1.26794,1.26799,0.72454,0.72461,1.3498,1.34992,0.68294,0.68305,20.535,20.5433,10.0199,10.0292,10.273,10.278,13.5105,13.6495
2022-01-03 06:00:00,1.13431,1.13433,115.333,115.339,1.2678,1.26788,0.72527,0.72537,1.3505,1.35063,0.68348,0.68357,20.5218,20.5272,10.0191,10.0251,10.2785,10.2808,13.66,13.706
