,start_hour,end_hour,rebalance_hour,cov,stdev
3550,7,8,22,shrinkage,0.0677592891786232
3551,7,8,23,shrinkage,0.0677615035234684
3549,7,8,21,shrinkage,0.0678167281529982
578,1,2,2,shrinkage,0.0678879035416881
592,1,2,16,shrinkage,0.0679053822441412
3548,7,8,20,shrinkage,0.0679181552621596
577,1,2,1,shrinkage,0.0679731011983529
579,1,2,3,shrinkage,0.0680010996730697
582,1,2,6,shrinkage,0.0680468888112476
581,1,2,5,shrinkage,0.0680600940072511
640,1,4,16,shrinkage,0.0680670255622562
580,1,2,4,shrinkage,0.0680966673918298
1713,3,6,9,shrinkage,0.0681160963771103
583,1,2,7,shrinkage,0.068173355902997
589,1,2,13,shrinkage,0.0682149427056622
590,1,2,14,shrinkage,0.0682320973963866
576,1,2,0,shrinkage,0.0682461124372303
588,1,2,12,shrinkage,0.0682896932776624
591,1,2,15,shrinkage,0.0683261816192434
585,1,2,9,shrinkage,0.0683341495325226
455,0,19,23,shrinkage,0.0683455898650878
25,0,2,1,shrinkage,0.0683462278870077
26,0,2,2,shrinkage,0.0683464287289285
24,0,2,0,shrinkage,0.068349735110664
584,1,2,8,shrinkage,0.0683614424040882
453,0,19,21,shrinkage,0.0683789353876665
27,0,2,3,shrinkage,0.0683888167019385
2063,3,20,23,shrinkage,0.0684078863957363
34,0,2,10,shrinkage,0.0684104825579517
32,0,2,8,shrinkage,0.0684110947685733
31,0,2,7,shrinkage,0.0684151688966061
29,0,2,5,shrinkage,0.0684167372772378
36,0,2,12,shrinkage,0.0684282125419097
33,0,2,9,shrinkage,0.0684295018866778
30,0,2,6,shrinkage,0.0684324149338606
587,1,2,11,shrinkage,0.0684327363899668
40,0,2,16,shrinkage,0.0684525481462394
38,0,2,14,shrinkage,0.0684614538068282
35,0,2,11,shrinkage,0.0684704114804072
586,1,2,10,shrinkage,0.0684735452005998
1006,1,19,22,shrinkage,0.0684870893916927
39,0,2,15,shrinkage,0.0685019952849537
1005,1,19,21,shrinkage,0.0685236910922679
37,0,2,13,shrinkage,0.0685377132099985
2062,3,20,22,shrinkage,0.068589088672195
1672,3,4,16,shrinkage,0.0685935547574435
1007,1,19,23,shrinkage,0.0685943410560251
454,0,19,22,shrinkage,0.0685945057641038
2037,3,19,21,shrinkage,0.0686017561409706
2086,3,21,22,shrinkage,0.0686145615100038
2,0,1,2,shrinkage,0.0686193153007346
2036,3,19,20,shrinkage,0.0686268522206726
2061,3,20,21,shrinkage,0.0686367549908556
2133,3,23,21,shrinkage,0.0686606939271993
2039,3,19,23,shrinkage,0.0686634288542616
452,0,19,20,shrinkage,0.0686635896772131
28,0,2,4,shrinkage,0.0686646981093002
1004,1,19,20,shrinkage,0.0686717964942047
2087,3,21,23,shrinkage,0.0686741225439208
2038,3,19,22,shrinkage,0.0686786503039172
1054,1,21,22,shrinkage,0.0686878534585627
1,0,1,1,shrinkage,0.0687047730678911
2110,3,22,22,shrinkage,0.068707593137378
2109,3,22,21,shrinkage,0.0687174323211761
1559,2,20,23,shrinkage,0.0687242422416062
2111,3,22,23,shrinkage,0.0687323848129923
1053,1,21,21,shrinkage,0.0687427474964329
0,0,1,0,shrinkage,0.0687429047364272
2060,3,20,20,shrinkage,0.0687462361056107
3046,5,22,22,shrinkage,0.0687598551744981
1534,2,19,22,shrinkage,0.0687606238809382
1556,2,20,20,shrinkage,0.0687877586119218
2135,3,23,23,shrinkage,0.0687975954711139
4,0,1,4,shrinkage,0.0688044689510914
1533,2,19,21,shrinkage,0.0688072967819352
2108,3,22,20,shrinkage,0.0688103488048547
3047,5,22,23,shrinkage,0.0688268865072062
1583,2,21,23,shrinkage,0.0688327476193171
1558,2,20,22,shrinkage,0.0688335850957504
1055,1,21,23,shrinkage,0.0688400494128315
2134,3,23,22,shrinkage,0.0688628382434533
2157,3,24,21,shrinkage,0.0688739648227437
1580,2,21,20,shrinkage,0.0688751809388854
2158,3,24,22,shrinkage,0.0688824733170625
2085,3,21,21,shrinkage,0.0688988118112152
1582,2,21,22,shrinkage,0.068902177482306
1052,1,21,20,shrinkage,0.0689426513709148
1629,2,23,21,shrinkage,0.0689657168556487
3,0,1,3,shrinkage,0.0689738252157561
2132,3,23,20,shrinkage,0.0689999280126496
1581,2,21,21,shrinkage,0.0690014831174153
1535,2,19,23,shrinkage,0.0690207921369089
2156,3,24,20,shrinkage,0.0690266111361636
